response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0033,0.0011,0.0000,0.0002,0.0018,0.0001,200,0.0053
0.0074,0.0026,0.0000,0.0026,0.0021,0.0000,200,0.0016
0.0042,0.0005,0.0000,0.0007,0.0030,0.0000,200,0.0050
0.0092,0.0020,0.0000,0.0037,0.0033,0.0001,200,0.0025
0.0063,0.0006,0.0000,0.0003,0.0053,0.0001,200,0.0056
0.0103,0.0027,0.0000,0.0038,0.0038,0.0000,200,0.0019
0.0068,0.0008,0.0000,0.0002,0.0057,0.0000,200,0.0055
0.0088,0.0024,0.0000,0.0006,0.0057,0.0000,200,0.0037
0.0098,0.0031,0.0000,0.0006,0.0060,0.0001,200,0.0029
0.0106,0.0017,0.0000,0.0038,0.0051,0.0000,200,0.0027
0.0119,0.0028,0.0000,0.0021,0.0070,0.0000,200,0.0018
0.0114,0.0021,0.0000,0.0037,0.0055,0.0000,200,0.0025
0.0113,0.0017,0.0000,0.0038,0.0058,0.0000,200,0.0026
0.0118,0.0026,0.0000,0.0006,0.0081,0.0000,200,0.0029
0.0089,0.0016,0.0000,0.0023,0.0047,0.0003,200,0.0080
0.0144,0.0022,0.0000,0.0049,0.0072,0.0000,200,0.0024
0.0152,0.0031,0.0000,0.0081,0.0039,0.0000,200,0.0020
0.0092,0.0012,0.0000,0.0022,0.0053,0.0005,200,0.0083
0.0168,0.0041,0.0000,0.0087,0.0034,0.0003,200,0.0011
0.0158,0.0028,0.0000,0.0044,0.0084,0.0001,200,0.0022
0.0063,0.0000,0.0000,0.0015,0.0047,0.0001,200,0.0124
0.0140,0.0000,0.0000,0.0000,0.0099,0.0001,200,0.0052
0.0179,0.0011,0.0000,0.0021,0.0139,0.0008,200,0.0027
0.0190,0.0000,0.0000,0.0001,0.0077,0.0000,200,0.0027
0.0118,0.0000,0.0000,0.0000,0.0117,0.0000,200,0.0098
0.0198,0.0031,0.0000,0.0075,0.0091,0.0001,200,0.0020
0.0169,0.0009,0.0000,0.0006,0.0154,0.0000,200,0.0049
0.0205,0.0028,0.0000,0.0048,0.0127,0.0002,200,0.0022
0.0054,0.0000,0.0000,0.0000,0.0053,0.0000,200,0.0179
0.0065,0.0000,0.0000,0.0005,0.0060,0.0000,200,0.0169
0.0198,0.0000,0.0000,0.0000,0.0151,0.0000,200,0.0042
0.0023,0.0000,0.0000,0.0000,0.0011,0.0000,200,0.0217
0.0237,0.0029,0.0000,0.0027,0.0177,0.0002,200,0.0011
0.0144,0.0000,0.0000,0.0000,0.0110,0.0005,200,0.0104
0.0078,0.0000,0.0000,0.0000,0.0076,0.0001,200,0.0180
0.0087,0.0000,0.0000,0.0000,0.0081,0.0002,200,0.0175
0.0195,0.0000,0.0000,0.0000,0.0170,0.0000,200,0.0069
0.0179,0.0005,0.0000,0.0006,0.0167,0.0000,200,0.0089
0.0131,0.0000,0.0000,0.0000,0.0130,0.0000,200,0.0139
0.0141,0.0000,0.0000,0.0001,0.0140,0.0000,200,0.0137
0.0136,0.0000,0.0000,0.0000,0.0134,0.0002,200,0.0147
0.0016,0.0000,0.0000,0.0000,0.0014,0.0000,200,0.0268
0.0040,0.0000,0.0000,0.0000,0.0040,0.0000,200,0.0248
0.0065,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.0228
0.0035,0.0000,0.0000,0.0000,0.0034,0.0001,200,0.0264
0.0035,0.0000,0.0000,0.0000,0.0035,0.0000,200,0.0264
0.0084,0.0000,0.0000,0.0000,0.0083,0.0000,200,0.0217
0.0183,0.0000,0.0000,0.0000,0.0181,0.0002,200,0.0123
0.0297,0.0039,0.0000,0.0089,0.0168,0.0001,200,0.0012
0.0094,0.0000,0.0000,0.0000,0.0093,0.0000,200,0.0219
0.0027,0.0000,0.0000,0.0000,0.0026,0.0001,200,0.0288
0.0294,0.0035,0.0000,0.0003,0.0254,0.0002,200,0.0027
0.0105,0.0000,0.0000,0.0000,0.0101,0.0001,200,0.0218
0.0211,0.0000,0.0000,0.0000,0.0210,0.0000,200,0.0123
0.0321,0.0037,0.0000,0.0088,0.0193,0.0001,200,0.0012
0.0309,0.0016,0.0000,0.0037,0.0255,0.0001,200,0.0026
0.0249,0.0002,0.0000,0.0004,0.0243,0.0000,200,0.0091
0.0218,0.0000,0.0000,0.0000,0.0211,0.0001,200,0.0127
0.0187,0.0000,0.0000,0.0000,0.0186,0.0000,200,0.0168
0.0127,0.0000,0.0000,0.0000,0.0126,0.0000,200,0.0233
0.0337,0.0023,0.0000,0.0049,0.0263,0.0002,200,0.0024
