response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0029,0.0004,0.0000,0.0002,0.0020,0.0001,200,0.0007
0.0028,0.0004,0.0000,0.0003,0.0020,0.0000,200,0.0012
0.0043,0.0005,0.0000,0.0001,0.0036,0.0000,200,0.0007
0.0084,0.0015,0.0000,0.0005,0.0022,0.0042,200,0.0027
0.0065,0.0036,0.0000,0.0001,0.0023,0.0005,200,0.0050
0.0097,0.0006,0.0000,0.0007,0.0082,0.0001,200,0.0028
0.0121,0.0000,0.0000,0.0000,0.0087,0.0001,200,0.0012
0.0115,0.0003,0.0000,0.0000,0.0049,0.0063,200,0.0023
0.0124,0.0003,0.0000,0.0002,0.0053,0.0066,200,0.0018
0.0095,0.0018,0.0000,0.0000,0.0062,0.0000,200,0.0054
0.0126,0.0002,0.0000,0.0007,0.0064,0.0053,200,0.0025
0.0132,0.0001,0.0000,0.0002,0.0053,0.0076,200,0.0019
0.0139,0.0003,0.0000,0.0003,0.0080,0.0052,200,0.0013
0.0131,0.0002,0.0000,0.0001,0.0074,0.0053,200,0.0022
0.0139,0.0003,0.0000,0.0002,0.0085,0.0050,200,0.0013
0.0086,0.0005,0.0000,0.0001,0.0029,0.0050,200,0.0068
0.0113,0.0025,0.0000,0.0009,0.0022,0.0054,200,0.0041
0.0129,0.0011,0.0000,0.0008,0.0060,0.0051,200,0.0025
0.0106,0.0028,0.0000,0.0000,0.0027,0.0051,200,0.0048
0.0108,0.0029,0.0000,0.0001,0.0027,0.0051,200,0.0047
0.0115,0.0009,0.0000,0.0031,0.0025,0.0051,200,0.0040
0.0119,0.0000,0.0000,0.0007,0.0029,0.0052,200,0.0036
0.0105,0.0015,0.0000,0.0011,0.0025,0.0051,200,0.0051
0.0113,0.0004,0.0000,0.0031,0.0052,0.0025,200,0.0043
0.0107,0.0018,0.0000,0.0009,0.0049,0.0030,200,0.0050
0.0141,0.0006,0.0000,0.0002,0.0107,0.0025,200,0.0015
0.0150,0.0000,0.0000,0.0000,0.0115,0.0001,200,0.0010
0.0025,0.0000,0.0000,0.0000,0.0024,0.0000,200,0.0154
0.0025,0.0000,0.0000,0.0000,0.0024,0.0001,200,0.0154
0.0108,0.0000,0.0000,0.0000,0.0044,0.0001,200,0.0071
0.0139,0.0008,0.0000,0.0032,0.0099,0.0000,200,0.0040
0.0025,0.0000,0.0000,0.0000,0.0022,0.0002,200,0.0155
0.0110,0.0000,0.0000,0.0000,0.0055,0.0001,200,0.0071
0.0143,0.0000,0.0000,0.0008,0.0059,0.0001,200,0.0038
0.0111,0.0000,0.0000,0.0003,0.0054,0.0000,200,0.0071
0.0026,0.0000,0.0000,0.0000,0.0023,0.0003,200,0.0157
0.0117,0.0000,0.0000,0.0000,0.0049,0.0003,200,0.0074
0.0035,0.0000,0.0000,0.0000,0.0035,0.0000,200,0.0156
0.0079,0.0000,0.0000,0.0008,0.0060,0.0002,200,0.0115
0.0121,0.0000,0.0000,0.0000,0.0056,0.0000,200,0.0073
0.0048,0.0000,0.0000,0.0000,0.0046,0.0001,200,0.0152
0.0047,0.0000,0.0000,0.0000,0.0045,0.0001,200,0.0153
0.0061,0.0000,0.0000,0.0002,0.0055,0.0001,200,0.0142
0.0137,0.0056,0.0000,0.0001,0.0078,0.0002,200,0.0071
0.0054,0.0000,0.0000,0.0000,0.0054,0.0000,200,0.0156
0.0082,0.0002,0.0000,0.0000,0.0080,0.0000,200,0.0133
0.0012,0.0000,0.0000,0.0000,0.0011,0.0000,200,0.0203
0.0042,0.0000,0.0000,0.0000,0.0040,0.0001,200,0.0179
0.0150,0.0000,0.0000,0.0000,0.0084,0.0002,200,0.0073
0.0048,0.0000,0.0000,0.0001,0.0044,0.0003,200,0.0182
0.0051,0.0000,0.0000,0.0000,0.0050,0.0000,200,0.0179
0.0162,0.0000,0.0000,0.0000,0.0100,0.0000,200,0.0072
0.0123,0.0000,0.0000,0.0000,0.0109,0.0000,200,0.0111
0.0056,0.0000,0.0000,0.0000,0.0055,0.0000,200,0.0180
