response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0054,0.0015,0.0000,0.0014,0.0021,0.0001,200,0.0005
0.0060,0.0007,0.0000,0.0023,0.0030,0.0000,200,0.0017
0.0075,0.0018,0.0000,0.0018,0.0037,0.0000,200,0.0004
0.0097,0.0010,0.0000,0.0015,0.0067,0.0000,200,0.0009
0.0109,0.0012,0.0000,0.0028,0.0060,0.0000,200,0.0004
0.0100,0.0010,0.0000,0.0027,0.0063,0.0000,200,0.0014
0.0084,0.0023,0.0000,0.0004,0.0055,0.0000,200,0.0032
0.0107,0.0000,0.0000,0.0000,0.0023,0.0000,200,0.0037
0.0124,0.0000,0.0000,0.0000,0.0025,0.0000,200,0.0022
0.0074,0.0005,0.0000,0.0044,0.0026,0.0000,200,0.0074
0.0111,0.0022,0.0000,0.0044,0.0045,0.0000,200,0.0039
0.0129,0.0000,0.0000,0.0000,0.0055,0.0000,200,0.0022
0.0108,0.0015,0.0000,0.0033,0.0061,0.0000,200,0.0044
0.0088,0.0001,0.0000,0.0044,0.0043,0.0000,200,0.0075
0.0054,0.0026,0.0000,0.0009,0.0018,0.0000,200,0.0111
0.0110,0.0003,0.0000,0.0043,0.0063,0.0000,200,0.0074
0.0071,0.0015,0.0000,0.0013,0.0042,0.0001,200,0.0116
0.0025,0.0000,0.0000,0.0000,0.0024,0.0000,200,0.0163
0.0086,0.0014,0.0000,0.0011,0.0060,0.0000,200,0.0117
0.0140,0.0047,0.0000,0.0015,0.0077,0.0000,200,0.0065
0.0056,0.0000,0.0000,0.0000,0.0055,0.0000,200,0.0150
0.0055,0.0000,0.0000,0.0000,0.0054,0.0000,200,0.0152
0.0155,0.0061,0.0000,0.0010,0.0083,0.0000,200,0.0057
0.0158,0.0054,0.0000,0.0010,0.0094,0.0001,200,0.0064
0.0161,0.0010,0.0000,0.0044,0.0107,0.0000,200,0.0070
0.0136,0.0011,0.0000,0.0009,0.0115,0.0000,200,0.0120
0.0219,0.0000,0.0000,0.0000,0.0135,0.0000,200,0.0038
0.0144,0.0024,0.0000,0.0009,0.0111,0.0000,200,0.0113
0.0186,0.0009,0.0000,0.0043,0.0134,0.0000,200,0.0072
0.0052,0.0000,0.0000,0.0000,0.0051,0.0000,200,0.0207
0.0047,0.0000,0.0000,0.0000,0.0046,0.0000,200,0.0212
0.0053,0.0000,0.0000,0.0000,0.0053,0.0000,200,0.0206
0.0094,0.0000,0.0000,0.0000,0.0094,0.0000,200,0.0166
0.0201,0.0059,0.0000,0.0010,0.0132,0.0000,200,0.0060
0.0184,0.0041,0.0000,0.0025,0.0117,0.0000,200,0.0077
0.0160,0.0005,0.0000,0.0007,0.0147,0.0000,200,0.0106
0.0088,0.0000,0.0000,0.0000,0.0088,0.0000,200,0.0204
0.0267,0.0126,0.0000,0.0000,0.0141,0.0000,200,0.0027
0.0150,0.0000,0.0000,0.0001,0.0148,0.0000,200,0.0148
0.0237,0.0052,0.0000,0.0008,0.0178,0.0000,200,0.0061
0.0097,0.0000,0.0000,0.0000,0.0097,0.0000,200,0.0203
0.0233,0.0013,0.0000,0.0043,0.0176,0.0000,200,0.0068
0.0115,0.0000,0.0000,0.0000,0.0114,0.0000,200,0.0188
0.0239,0.0037,0.0000,0.0021,0.0181,0.0000,200,0.0067
0.0076,0.0000,0.0000,0.0000,0.0075,0.0000,200,0.0231
0.0086,0.0000,0.0000,0.0000,0.0086,0.0000,200,0.0222
0.0124,0.0000,0.0000,0.0000,0.0123,0.0001,200,0.0185
0.0049,0.0000,0.0000,0.0000,0.0049,0.0000,200,0.0261
0.0159,0.0000,0.0000,0.0000,0.0159,0.0000,200,0.0151
0.0194,0.0015,0.0000,0.0012,0.0168,0.0000,200,0.0116
0.0272,0.0000,0.0000,0.0001,0.0158,0.0000,200,0.0039
0.0168,0.0000,0.0000,0.0000,0.0156,0.0003,200,0.0145
0.0257,0.0037,0.0000,0.0026,0.0194,0.0000,200,0.0079
0.0279,0.0058,0.0000,0.0010,0.0211,0.0000,200,0.0060
0.0041,0.0000,0.0000,0.0000,0.0040,0.0000,200,0.0300
0.0276,0.0045,0.0000,0.0016,0.0214,0.0000,200,0.0066
0.0290,0.0006,0.0000,0.0043,0.0240,0.0000,200,0.0073
