response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0066,0.0025,0.0000,0.0021,0.0011,0.0008,200,0.0160
0.0165,0.0061,0.0000,0.0029,0.0023,0.0000,200,0.0065
0.0079,0.0050,0.0000,0.0001,0.0026,0.0001,200,0.0159
0.0127,0.0067,0.0000,0.0011,0.0043,0.0002,200,0.0115
0.0079,0.0014,0.0000,0.0028,0.0035,0.0001,200,0.0165
0.0088,0.0024,0.0000,0.0022,0.0041,0.0000,200,0.0162
0.0187,0.0049,0.0000,0.0001,0.0044,0.0000,200,0.0067
0.0139,0.0087,0.0000,0.0002,0.0049,0.0001,200,0.0128
0.0127,0.0077,0.0000,0.0001,0.0048,0.0000,200,0.0158
0.0132,0.0077,0.0000,0.0001,0.0051,0.0002,200,0.0157
0.0129,0.0020,0.0000,0.0030,0.0079,0.0000,200,0.0160
0.0181,0.0000,0.0000,0.0000,0.0029,0.0000,200,0.0118
0.0147,0.0074,0.0000,0.0043,0.0030,0.0001,200,0.0155
0.0026,0.0000,0.0000,0.0000,0.0021,0.0005,200,0.0298
0.0023,0.0000,0.0000,0.0000,0.0022,0.0000,200,0.0303
0.0212,0.0012,0.0000,0.0030,0.0053,0.0000,200,0.0114
0.0077,0.0000,0.0000,0.0023,0.0023,0.0001,200,0.0249
0.0201,0.0101,0.0000,0.0042,0.0056,0.0001,200,0.0127
0.0213,0.0000,0.0000,0.0022,0.0025,0.0001,200,0.0115
0.0061,0.0000,0.0000,0.0002,0.0041,0.0000,200,0.0267
0.0202,0.0000,0.0000,0.0000,0.0056,0.0000,200,0.0127
0.0222,0.0021,0.0000,0.0022,0.0033,0.0004,200,0.0115
0.0096,0.0000,0.0000,0.0022,0.0037,0.0000,200,0.0241
0.0061,0.0000,0.0000,0.0000,0.0060,0.0001,200,0.0285
0.0096,0.0025,0.0000,0.0003,0.0067,0.0000,200,0.0254
0.0026,0.0000,0.0000,0.0000,0.0023,0.0002,200,0.0324
0.0206,0.0077,0.0000,0.0042,0.0086,0.0000,200,0.0155
0.0033,0.0000,0.0000,0.0000,0.0032,0.0001,200,0.0328
0.0247,0.0015,0.0000,0.0001,0.0078,0.0000,200,0.0115
0.0073,0.0000,0.0000,0.0000,0.0072,0.0001,200,0.0289
0.0200,0.0000,0.0000,0.0000,0.0069,0.0001,200,0.0165
0.0043,0.0000,0.0000,0.0000,0.0041,0.0002,200,0.0328
0.0221,0.0000,0.0000,0.0045,0.0076,0.0004,200,0.0155
0.0049,0.0000,0.0000,0.0000,0.0048,0.0000,200,0.0326
0.0320,0.0000,0.0000,0.0014,0.0095,0.0003,200,0.0061
0.0268,0.0051,0.0000,0.0045,0.0087,0.0000,200,0.0113
0.0050,0.0000,0.0000,0.0000,0.0049,0.0000,200,0.0337
0.0277,0.0021,0.0000,0.0043,0.0097,0.0000,200,0.0112
0.0325,0.0000,0.0000,0.0013,0.0113,0.0001,200,0.0069
0.0284,0.0000,0.0000,0.0000,0.0125,0.0000,200,0.0115
0.0232,0.0080,0.0000,0.0030,0.0122,0.0000,200,0.0167
0.0295,0.0084,0.0000,0.0027,0.0108,0.0002,200,0.0112
0.0280,0.0112,0.0000,0.0034,0.0132,0.0000,200,0.0127
0.0180,0.0017,0.0000,0.0043,0.0119,0.0000,200,0.0230
0.0090,0.0000,0.0000,0.0000,0.0087,0.0002,200,0.0326
0.0304,0.0000,0.0000,0.0000,0.0137,0.0000,200,0.0113
0.0056,0.0000,0.0000,0.0000,0.0055,0.0000,200,0.0362
0.0245,0.0000,0.0000,0.0012,0.0144,0.0000,200,0.0177
0.0315,0.0064,0.0000,0.0044,0.0130,0.0000,200,0.0112
0.0082,0.0000,0.0000,0.0000,0.0080,0.0000,200,0.0346
0.0032,0.0000,0.0000,0.0000,0.0031,0.0000,200,0.0399
0.0325,0.0057,0.0000,0.0044,0.0142,0.0001,200,0.0112
0.0212,0.0026,0.0000,0.0046,0.0138,0.0001,200,0.0226
0.0088,0.0000,0.0000,0.0000,0.0088,0.0000,200,0.0361
0.0021,0.0000,0.0000,0.0000,0.0020,0.0000,200,0.0428
0.0062,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.0389
0.0052,0.0000,0.0000,0.0002,0.0049,0.0000,200,0.0399
0.0072,0.0000,0.0000,0.0000,0.0070,0.0001,200,0.0381
0.0347,0.0000,0.0000,0.0019,0.0169,0.0000,200,0.0113
0.0335,0.0000,0.0000,0.0020,0.0169,0.0000,200,0.0127
0.0098,0.0000,0.0000,0.0001,0.0096,0.0000,200,0.0371
0.0329,0.0093,0.0000,0.0040,0.0195,0.0000,200,0.0141
0.0025,0.0000,0.0000,0.0000,0.0022,0.0002,200,0.0449
0.0242,0.0000,0.0000,0.0021,0.0186,0.0000,200,0.0238
0.0048,0.0000,0.0000,0.0000,0.0047,0.0001,200,0.0437
0.0119,0.0000,0.0000,0.0000,0.0117,0.0001,200,0.0376
0.0056,0.0000,0.0000,0.0000,0.0054,0.0000,200,0.0449
0.0032,0.0000,0.0000,0.0000,0.0031,0.0000,200,0.0474
0.0342,0.0000,0.0000,0.0042,0.0206,0.0005,200,0.0167
0.0381,0.0000,0.0000,0.0000,0.0218,0.0000,200,0.0127
0.0065,0.0000,0.0000,0.0000,0.0064,0.0001,200,0.0451
0.0064,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.0453
0.0107,0.0000,0.0000,0.0000,0.0105,0.0001,200,0.0419
0.0058,0.0000,0.0000,0.0000,0.0055,0.0001,200,0.0469
0.0052,0.0000,0.0000,0.0000,0.0050,0.0001,200,0.0480
0.0072,0.0000,0.0000,0.0000,0.0065,0.0006,200,0.0460
0.0130,0.0000,0.0000,0.0000,0.0129,0.0000,200,0.0407
0.0041,0.0000,0.0000,0.0000,0.0040,0.0001,200,0.0509
0.0381,0.0000,0.0000,0.0012,0.0272,0.0001,200,0.0168
0.0034,0.0000,0.0000,0.0000,0.0032,0.0002,200,0.0517
0.0093,0.0000,0.0000,0.0000,0.0091,0.0001,200,0.0462
0.0383,0.0000,0.0000,0.0000,0.0265,0.0002,200,0.0179
0.0145,0.0000,0.0000,0.0000,0.0144,0.0000,200,0.0417
0.0401,0.0065,0.0000,0.0041,0.0294,0.0000,200,0.0173
0.0020,0.0000,0.0000,0.0000,0.0019,0.0000,200,0.0555
0.0202,0.0000,0.0000,0.0000,0.0194,0.0008,200,0.0381
0.0234,0.0000,0.0000,0.0000,0.0225,0.0008,200,0.0350
0.0404,0.0000,0.0000,0.0013,0.0303,0.0000,200,0.0180
0.0226,0.0000,0.0000,0.0000,0.0225,0.0000,200,0.0365
0.0181,0.0000,0.0000,0.0000,0.0180,0.0000,200,0.0410
0.0144,0.0000,0.0000,0.0000,0.0143,0.0001,200,0.0451
0.0026,0.0000,0.0000,0.0000,0.0023,0.0003,200,0.0576
0.0264,0.0000,0.0000,0.0000,0.0264,0.0000,200,0.0337
0.0482,0.0121,0.0000,0.0033,0.0328,0.0000,200,0.0127
0.0025,0.0000,0.0000,0.0000,0.0024,0.0000,200,0.0590
0.0056,0.0000,0.0000,0.0000,0.0055,0.0000,200,0.0562
0.0380,0.0000,0.0000,0.0040,0.0305,0.0000,200,0.0244
0.0193,0.0000,0.0000,0.0000,0.0191,0.0001,200,0.0436
0.0054,0.0000,0.0000,0.0000,0.0053,0.0001,200,0.0584
0.0313,0.0000,0.0000,0.0000,0.0309,0.0004,200,0.0328
0.0207,0.0000,0.0000,0.0000,0.0205,0.0001,200,0.0438
0.0538,0.0000,0.0000,0.0024,0.0352,0.0000,200,0.0115
0.0115,0.0000,0.0000,0.0000,0.0113,0.0001,200,0.0537
0.0263,0.0000,0.0000,0.0000,0.0259,0.0000,200,0.0394
0.0052,0.0000,0.0000,0.0000,0.0050,0.0000,200,0.0609
0.0061,0.0000,0.0000,0.0000,0.0059,0.0000,200,0.0602
0.0155,0.0000,0.0000,0.0000,0.0155,0.0000,200,0.0516
0.0207,0.0000,0.0000,0.0000,0.0206,0.0000,200,0.0469
0.0060,0.0000,0.0000,0.0000,0.0057,0.0003,200,0.0618
0.0134,0.0000,0.0000,0.0000,0.0129,0.0001,200,0.0550
0.0404,0.0000,0.0000,0.0000,0.0403,0.0000,200,0.0289
0.0198,0.0000,0.0000,0.0000,0.0196,0.0002,200,0.0495
0.0185,0.0000,0.0000,0.0000,0.0184,0.0000,200,0.0525
0.0115,0.0000,0.0000,0.0000,0.0114,0.0000,200,0.0595
0.0058,0.0000,0.0000,0.0000,0.0056,0.0001,200,0.0652
0.0066,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.0645
